,upper_workpiece_id,lower_workpiece_id,class_value_upper_work_piece,class_value_lower_work_piece,class_value_screw_driving
212,213,workpiece_not_used,control_group_01,,
213,214,workpiece_not_used,control_group_01,,
214,215,workpiece_not_used,control_group_01,,
215,216,workpiece_not_used,control_group_01,,
216,217,workpiece_not_used,control_group_01,,
217,218,workpiece_not_used,control_group_01,,
218,219,workpiece_not_used,control_group_01,,
219,220,workpiece_not_used,control_group_01,,
220,221,workpiece_not_used,control_group_01,,
221,222,workpiece_not_used,control_group_01,,
222,223,workpiece_not_used,control_group_01,,
223,224,workpiece_not_used,control_group_01,,
224,225,workpiece_not_used,control_group_01,,
225,226,workpiece_not_used,control_group_01,,
226,227,workpiece_not_used,control_group_01,,
227,228,workpiece_not_used,control_group_01,,
228,229,workpiece_not_used,control_group_01,,
229,230,workpiece_not_used,control_group_01,,
230,231,workpiece_not_used,control_group_01,,
231,232,workpiece_not_used,control_group_01,,
232,233,workpiece_not_used,control_group_01,,
233,234,workpiece_not_used,control_group_01,,
234,235,workpiece_not_used,control_group_01,,
235,236,workpiece_not_used,control_group_01,,
236,237,workpiece_not_used,control_group_01,,
237,238,workpiece_not_used,control_group_01,,
238,239,workpiece_not_used,control_group_01,,
239,240,workpiece_not_used,control_group_01,,
240,241,workpiece_not_used,control_group_01,,
241,242,workpiece_not_used,control_group_01,,
242,243,workpiece_not_used,control_group_01,,
243,244,workpiece_not_used,control_group_01,,
244,245,workpiece_not_used,control_group_01,,
245,246,workpiece_not_used,control_group_01,,
246,247,workpiece_not_used,control_group_01,,
247,248,workpiece_not_used,control_group_01,,
248,249,workpiece_not_used,control_group_01,,
249,250,workpiece_not_used,control_group_01,,
250,251,workpiece_not_used,control_group_01,,
251,252,workpiece_not_used,control_group_01,,
252,253,workpiece_not_used,control_group_01,,
253,254,workpiece_not_used,control_group_01,,
254,255,workpiece_not_used,control_group_01,,
255,256,workpiece_not_used,control_group_01,,
256,257,workpiece_not_used,control_group_01,,
257,258,workpiece_not_used,control_group_01,,
258,259,workpiece_not_used,control_group_01,,
259,260,workpiece_not_used,control_group_01,,
260,261,workpiece_not_used,control_group_01,,
261,262,workpiece_not_used,control_group_01,,
262,263,workpiece_not_used,control_group_01,,
263,264,workpiece_not_used,control_group_01,,
264,265,workpiece_not_used,control_group_01,,
265,266,workpiece_not_used,control_group_01,,
266,267,workpiece_not_used,control_group_01,,
267,268,workpiece_not_used,control_group_01,,
268,269,workpiece_not_used,control_group_01,,
269,270,workpiece_not_used,control_group_01,,
270,271,workpiece_not_used,control_group_01,,
271,272,workpiece_not_used,control_group_01,,
272,273,workpiece_not_used,control_group_01,,
273,274,workpiece_not_used,control_group_01,,
274,275,workpiece_not_used,control_group_01,,
275,276,workpiece_not_used,control_group_01,,
276,277,workpiece_not_used,control_group_01,,
277,278,workpiece_not_used,control_group_01,,
278,279,workpiece_not_used,control_group_01,,
279,280,workpiece_not_used,control_group_01,,
280,281,workpiece_not_used,control_group_01,,
281,282,workpiece_not_used,control_group_01,,
282,283,workpiece_not_used,control_group_01,,
283,284,workpiece_not_used,control_group_01,,
284,285,workpiece_not_used,control_group_01,,
285,286,workpiece_not_used,control_group_01,,
286,287,workpiece_not_used,control_group_01,,
287,288,workpiece_not_used,control_group_01,,
288,289,workpiece_not_used,control_group_01,,
289,290,workpiece_not_used,control_group_01,,
290,291,workpiece_not_used,control_group_01,,
291,292,workpiece_not_used,control_group_01,,
292,293,workpiece_not_used,control_group_01,,
293,294,workpiece_not_used,control_group_01,,
294,295,workpiece_not_used,control_group_01,,
295,296,workpiece_not_used,control_group_01,,
296,297,workpiece_not_used,control_group_01,,
297,298,workpiece_not_used,control_group_01,,
298,299,workpiece_not_used,control_group_01,,
299,300,workpiece_not_used,control_group_01,,
300,301,workpiece_not_used,control_group_01,,
301,302,workpiece_not_used,cooling_time_20,,
302,303,workpiece_not_used,cooling_time_20,,
303,304,workpiece_not_used,cooling_time_20,,
304,305,workpiece_not_used,cooling_time_20,,
305,306,workpiece_not_used,cooling_time_20,,
306,307,workpiece_not_used,cooling_time_20,,
307,308,workpiece_not_used,cooling_time_20,,
308,309,workpiece_not_used,cooling_time_20,,
309,310,workpiece_not_used,cooling_time_20,,
310,311,workpiece_not_used,cooling_time_20,,
311,312,workpiece_not_used,cooling_time_20,,
312,313,workpiece_not_used,cooling_time_20,,
313,314,workpiece_not_used,cooling_time_20,,
314,315,workpiece_not_used,cooling_time_20,,
315,316,workpiece_not_used,cooling_time_20,,
316,317,workpiece_not_used,cooling_time_20,,
317,318,workpiece_not_used,cooling_time_20,,
318,319,workpiece_not_used,cooling_time_20,,
319,320,workpiece_not_used,cooling_time_20,,
320,321,workpiece_not_used,cooling_time_20,,
321,322,workpiece_not_used,cooling_time_20,,
322,323,workpiece_not_used,cooling_time_20,,
323,324,workpiece_not_used,cooling_time_20,,
324,325,workpiece_not_used,cooling_time_20,,
325,326,workpiece_not_used,cooling_time_20,,
326,327,workpiece_not_used,cooling_time_20,,
327,328,workpiece_not_used,cooling_time_20,,
328,329,workpiece_not_used,cooling_time_20,,
329,330,workpiece_not_used,cooling_time_20,,
330,331,workpiece_not_used,cooling_time_20,,
331,332,workpiece_not_used,cooling_time_20,,
332,333,workpiece_not_used,cooling_time_20,,
333,334,workpiece_not_used,cooling_time_20,,
334,335,workpiece_not_used,cooling_time_20,,
335,336,workpiece_not_used,cooling_time_20,,
336,337,workpiece_not_used,cooling_time_20,,
337,338,workpiece_not_used,cooling_time_20,,
338,339,workpiece_not_used,cooling_time_20,,
339,340,workpiece_not_used,cooling_time_20,,
340,341,workpiece_not_used,cooling_time_20,,
341,342,workpiece_not_used,cooling_time_20,,
342,343,workpiece_not_used,cooling_time_20,,
343,344,workpiece_not_used,cooling_time_20,,
344,345,workpiece_not_used,cooling_time_20,,
345,346,workpiece_not_used,cooling_time_20,,
346,347,workpiece_not_used,cooling_time_20,,
347,348,workpiece_not_used,cooling_time_20,,
348,349,workpiece_not_used,cooling_time_20,,
349,350,workpiece_not_used,cooling_time_20,,
350,351,workpiece_not_used,cooling_time_20,,
351,352,workpiece_not_used,cooling_time_20,,
352,353,workpiece_not_used,cooling_time_20,,
353,354,workpiece_not_used,cooling_time_20,,
354,355,workpiece_not_used,cooling_time_20,,
355,356,workpiece_not_used,cooling_time_20,,
356,357,workpiece_not_used,cooling_time_20,,
357,358,workpiece_not_used,cooling_time_20,,
358,359,workpiece_not_used,cooling_time_20,,
359,360,workpiece_not_used,cooling_time_20,,
360,361,workpiece_not_used,cooling_time_20,,
361,362,workpiece_not_used,cooling_time_20,,
362,363,workpiece_not_used,cooling_time_20,,
363,364,workpiece_not_used,cooling_time_20,,
364,365,workpiece_not_used,cooling_time_20,,
365,366,workpiece_not_used,cooling_time_20,,
366,367,workpiece_not_used,cooling_time_20,,
367,368,workpiece_not_used,cooling_time_20,,
368,369,workpiece_not_used,cooling_time_20,,
369,370,workpiece_not_used,cooling_time_20,,
370,371,workpiece_not_used,cooling_time_20,,
371,372,workpiece_not_used,cooling_time_20,,
372,373,workpiece_not_used,cooling_time_20,,
373,374,workpiece_not_used,cooling_time_20,,
374,375,workpiece_not_used,cooling_time_20,,
375,376,workpiece_not_used,cooling_time_20,,
376,377,workpiece_not_used,cooling_time_20,,
377,378,workpiece_not_used,cooling_time_20,,
378,379,workpiece_not_used,cooling_time_20,,
379,380,workpiece_not_used,cooling_time_20,,
380,381,workpiece_not_used,cooling_time_20,,
381,382,workpiece_not_used,cooling_time_20,,
382,383,workpiece_not_used,cooling_time_20,,
383,384,workpiece_not_used,cooling_time_20,,
384,385,workpiece_not_used,cooling_time_20,,
385,386,workpiece_not_used,cooling_time_20,,
386,387,workpiece_not_used,cooling_time_20,,
387,388,workpiece_not_used,cooling_time_20,,
388,389,workpiece_not_used,cooling_time_20,,
389,390,workpiece_not_used,cooling_time_20,,
390,391,workpiece_not_used,cooling_time_20,,
391,392,workpiece_not_used,cooling_time_20,,
392,393,workpiece_not_used,cooling_time_20,,
393,394,workpiece_not_used,cooling_time_20,,
394,395,workpiece_not_used,cooling_time_20,,
395,396,workpiece_not_used,cooling_time_20,,
396,397,workpiece_not_used,cooling_time_20,,
397,398,workpiece_not_used,cooling_time_20,,
398,399,workpiece_not_used,cooling_time_20,,
399,400,workpiece_not_used,cooling_time_20,,
400,401,workpiece_not_used,cooling_time_21,,
401,402,workpiece_not_used,cooling_time_21,,
402,403,workpiece_not_used,cooling_time_21,,
403,404,workpiece_not_used,cooling_time_21,,
404,405,workpiece_not_used,cooling_time_21,,
405,406,workpiece_not_used,cooling_time_21,,
406,407,workpiece_not_used,cooling_time_21,,
407,408,workpiece_not_used,cooling_time_21,,
408,409,workpiece_not_used,cooling_time_21,,
409,410,workpiece_not_used,cooling_time_21,,
410,411,workpiece_not_used,cooling_time_21,,
411,412,workpiece_not_used,cooling_time_21,,
412,413,workpiece_not_used,cooling_time_21,,
413,414,workpiece_not_used,cooling_time_21,,
414,415,workpiece_not_used,cooling_time_21,,
415,416,workpiece_not_used,cooling_time_21,,
416,417,workpiece_not_used,cooling_time_21,,
417,418,workpiece_not_used,cooling_time_21,,
418,419,workpiece_not_used,cooling_time_21,,
419,420,workpiece_not_used,cooling_time_21,,
420,421,workpiece_not_used,cooling_time_21,,
421,422,workpiece_not_used,cooling_time_21,,
422,423,workpiece_not_used,cooling_time_21,,
423,424,workpiece_not_used,cooling_time_21,,
424,425,workpiece_not_used,cooling_time_21,,
425,426,workpiece_not_used,cooling_time_21,,
426,427,workpiece_not_used,cooling_time_21,,
427,428,workpiece_not_used,cooling_time_21,,
428,429,workpiece_not_used,cooling_time_21,,
429,430,workpiece_not_used,cooling_time_21,,
430,431,workpiece_not_used,cooling_time_21,,
431,432,workpiece_not_used,cooling_time_21,,
432,433,workpiece_not_used,cooling_time_21,,
433,434,workpiece_not_used,cooling_time_21,,
434,435,workpiece_not_used,cooling_time_21,,
435,436,workpiece_not_used,cooling_time_21,,
436,437,workpiece_not_used,cooling_time_21,,
437,438,workpiece_not_used,cooling_time_21,,
438,439,workpiece_not_used,cooling_time_21,,
439,440,workpiece_not_used,cooling_time_21,,
440,441,workpiece_not_used,cooling_time_21,,
441,442,workpiece_not_used,cooling_time_21,,
442,443,workpiece_not_used,cooling_time_21,,
443,444,workpiece_not_used,cooling_time_21,,
444,445,workpiece_not_used,cooling_time_21,,
445,446,workpiece_not_used,cooling_time_21,,
446,447,workpiece_not_used,cooling_time_21,,
447,448,workpiece_not_used,cooling_time_21,,
448,449,workpiece_not_used,cooling_time_21,,
449,450,workpiece_not_used,cooling_time_21,,
450,451,workpiece_not_used,cooling_time_21,,
451,452,workpiece_not_used,cooling_time_21,,
452,453,workpiece_not_used,cooling_time_21,,
453,454,workpiece_not_used,cooling_time_21,,
454,455,workpiece_not_used,cooling_time_21,,
455,456,workpiece_not_used,cooling_time_21,,
456,457,workpiece_not_used,cooling_time_21,,
457,458,workpiece_not_used,cooling_time_21,,
458,459,workpiece_not_used,cooling_time_21,,
459,460,workpiece_not_used,cooling_time_21,,
460,461,workpiece_not_used,cooling_time_21,,
461,462,workpiece_not_used,cooling_time_21,,
462,463,workpiece_not_used,cooling_time_21,,
463,464,workpiece_not_used,cooling_time_21,,
464,465,workpiece_not_used,cooling_time_21,,
465,466,workpiece_not_used,cooling_time_21,,
466,467,workpiece_not_used,cooling_time_21,,
467,468,workpiece_not_used,cooling_time_21,,
468,469,workpiece_not_used,cooling_time_21,,
469,470,workpiece_not_used,cooling_time_21,,
470,471,workpiece_not_used,cooling_time_21,,
471,472,workpiece_not_used,cooling_time_21,,
472,473,workpiece_not_used,cooling_time_21,,
473,474,workpiece_not_used,cooling_time_21,,
474,475,workpiece_not_used,cooling_time_21,,
475,476,workpiece_not_used,cooling_time_21,,
476,477,workpiece_not_used,cooling_time_21,,
477,478,workpiece_not_used,cooling_time_21,,
478,479,workpiece_not_used,cooling_time_21,,
479,480,workpiece_not_used,cooling_time_21,,
480,481,workpiece_not_used,cooling_time_21,,
481,482,workpiece_not_used,cooling_time_21,,
482,483,workpiece_not_used,cooling_time_21,,
483,484,workpiece_not_used,cooling_time_21,,
484,485,workpiece_not_used,cooling_time_21,,
485,486,workpiece_not_used,cooling_time_21,,
486,487,workpiece_not_used,cooling_time_21,,
487,488,workpiece_not_used,cooling_time_21,,
488,489,workpiece_not_used,cooling_time_21,,
489,490,workpiece_not_used,cooling_time_21,,
490,491,workpiece_not_used,cooling_time_21,,
491,492,workpiece_not_used,cooling_time_21,,
492,493,workpiece_not_used,cooling_time_21,,
493,494,workpiece_not_used,cooling_time_21,,
494,495,workpiece_not_used,cooling_time_21,,
495,496,workpiece_not_used,cooling_time_21,,
496,497,workpiece_not_used,cooling_time_21,,
497,498,workpiece_not_used,cooling_time_21,,
498,499,workpiece_not_used,cooling_time_21,,
499,500,workpiece_not_used,cooling_time_21,,
500,501,workpiece_not_used,cooling_time_22,,
501,502,workpiece_not_used,cooling_time_22,,
502,503,workpiece_not_used,cooling_time_22,,
503,504,workpiece_not_used,cooling_time_22,,
504,505,workpiece_not_used,cooling_time_22,,
505,506,workpiece_not_used,cooling_time_22,,
506,507,workpiece_not_used,cooling_time_22,,
507,508,workpiece_not_used,cooling_time_22,,
508,509,workpiece_not_used,cooling_time_22,,
509,510,workpiece_not_used,cooling_time_22,,
510,511,workpiece_not_used,cooling_time_22,,
511,512,workpiece_not_used,cooling_time_22,,
512,513,workpiece_not_used,cooling_time_22,,
513,514,workpiece_not_used,cooling_time_22,,
514,515,workpiece_not_used,cooling_time_22,,
515,516,workpiece_not_used,cooling_time_22,,
516,517,workpiece_not_used,cooling_time_22,,
517,518,workpiece_not_used,cooling_time_22,,
518,519,workpiece_not_used,cooling_time_22,,
519,520,workpiece_not_used,cooling_time_22,,
520,521,workpiece_not_used,cooling_time_22,,
521,522,workpiece_not_used,cooling_time_22,,
522,523,workpiece_not_used,cooling_time_22,,
523,524,workpiece_not_used,cooling_time_22,,
524,525,workpiece_not_used,cooling_time_22,,
525,526,workpiece_not_used,cooling_time_22,,
526,527,workpiece_not_used,cooling_time_22,,
527,528,workpiece_not_used,cooling_time_22,,
528,529,workpiece_not_used,cooling_time_22,,
529,530,workpiece_not_used,cooling_time_22,,
530,531,workpiece_not_used,cooling_time_22,,
531,532,workpiece_not_used,cooling_time_22,,
532,533,workpiece_not_used,cooling_time_22,,
533,534,workpiece_not_used,cooling_time_22,,
534,535,workpiece_not_used,cooling_time_22,,
535,536,workpiece_not_used,cooling_time_22,,
536,537,workpiece_not_used,cooling_time_22,,
537,538,workpiece_not_used,cooling_time_22,,
538,539,workpiece_not_used,cooling_time_22,,
539,540,workpiece_not_used,cooling_time_22,,
540,541,workpiece_not_used,cooling_time_22,,
541,542,workpiece_not_used,cooling_time_22,,
542,543,workpiece_not_used,cooling_time_22,,
543,544,workpiece_not_used,cooling_time_22,,
544,545,workpiece_not_used,cooling_time_22,,
545,546,workpiece_not_used,cooling_time_22,,
546,547,workpiece_not_used,cooling_time_22,,
547,548,workpiece_not_used,cooling_time_22,,
548,549,workpiece_not_used,cooling_time_22,,
549,550,workpiece_not_used,cooling_time_22,,
550,551,workpiece_not_used,cooling_time_22,,
551,552,workpiece_not_used,cooling_time_22,,
552,553,workpiece_not_used,cooling_time_22,,
553,554,workpiece_not_used,cooling_time_22,,
554,555,workpiece_not_used,cooling_time_22,,
555,556,workpiece_not_used,cooling_time_22,,
556,557,workpiece_not_used,cooling_time_22,,
557,558,workpiece_not_used,cooling_time_22,,
558,559,workpiece_not_used,cooling_time_22,,
559,560,workpiece_not_used,cooling_time_22,,
560,561,workpiece_not_used,cooling_time_22,,
561,562,workpiece_not_used,cooling_time_22,,
562,563,workpiece_not_used,cooling_time_22,,
563,564,workpiece_not_used,cooling_time_22,,
564,565,workpiece_not_used,cooling_time_22,,
565,566,workpiece_not_used,cooling_time_22,,
566,567,workpiece_not_used,cooling_time_22,,
567,568,workpiece_not_used,cooling_time_22,,
568,569,workpiece_not_used,cooling_time_22,,
569,570,workpiece_not_used,cooling_time_22,,
570,571,workpiece_not_used,cooling_time_22,,
571,572,workpiece_not_used,cooling_time_22,,
572,573,workpiece_not_used,cooling_time_22,,
573,574,workpiece_not_used,cooling_time_22,,
574,575,workpiece_not_used,cooling_time_22,,
575,576,workpiece_not_used,cooling_time_22,,
576,577,workpiece_not_used,cooling_time_22,,
577,578,workpiece_not_used,cooling_time_22,,
578,579,workpiece_not_used,cooling_time_22,,
579,580,workpiece_not_used,cooling_time_22,,
580,581,workpiece_not_used,cooling_time_22,,
581,582,workpiece_not_used,cooling_time_22,,
582,583,workpiece_not_used,cooling_time_22,,
583,584,workpiece_not_used,cooling_time_22,,
584,585,workpiece_not_used,cooling_time_22,,
585,586,workpiece_not_used,cooling_time_22,,
586,587,workpiece_not_used,cooling_time_22,,
587,588,workpiece_not_used,cooling_time_22,,
588,589,workpiece_not_used,cooling_time_22,,
589,590,workpiece_not_used,cooling_time_22,,
590,591,workpiece_not_used,cooling_time_22,,
591,592,workpiece_not_used,cooling_time_22,,
592,593,workpiece_not_used,cooling_time_22,,
593,594,workpiece_not_used,cooling_time_22,,
594,595,workpiece_not_used,cooling_time_22,,
595,596,workpiece_not_used,cooling_time_22,,
596,597,workpiece_not_used,cooling_time_22,,
597,598,workpiece_not_used,cooling_time_22,,
598,599,workpiece_not_used,cooling_time_22,,
599,600,workpiece_not_used,cooling_time_22,,
600,601,workpiece_not_used,cooling_time_23,,
601,602,workpiece_not_used,cooling_time_23,,
602,603,workpiece_not_used,cooling_time_23,,
603,604,workpiece_not_used,cooling_time_23,,
604,605,workpiece_not_used,cooling_time_23,,
605,606,workpiece_not_used,cooling_time_23,,
606,607,workpiece_not_used,cooling_time_23,,
607,608,workpiece_not_used,cooling_time_23,,
608,609,workpiece_not_used,cooling_time_23,,
609,610,workpiece_not_used,cooling_time_23,,
610,611,workpiece_not_used,cooling_time_23,,
611,612,workpiece_not_used,cooling_time_23,,
612,613,workpiece_not_used,cooling_time_23,,
613,614,workpiece_not_used,cooling_time_23,,
614,615,workpiece_not_used,cooling_time_23,,
615,616,workpiece_not_used,cooling_time_23,,
616,617,workpiece_not_used,cooling_time_23,,
617,618,workpiece_not_used,cooling_time_23,,
618,619,workpiece_not_used,cooling_time_23,,
619,620,workpiece_not_used,cooling_time_23,,
620,621,workpiece_not_used,cooling_time_23,,
621,622,workpiece_not_used,cooling_time_23,,
622,623,workpiece_not_used,cooling_time_23,,
623,624,workpiece_not_used,cooling_time_23,,
624,625,workpiece_not_used,cooling_time_23,,
625,626,workpiece_not_used,cooling_time_23,,
626,627,workpiece_not_used,cooling_time_23,,
627,628,workpiece_not_used,cooling_time_23,,
628,629,workpiece_not_used,cooling_time_23,,
629,630,workpiece_not_used,cooling_time_23,,
